iter	Passed	Remaining
0	2	219
1	4	201
2	5	190
3	7	178
4	9	182
5	11	183
6	13	178
7	15	178
8	17	174
9	19	171
10	21	172
11	23	173
12	25	171
13	27	169
14	29	167
15	31	163
16	32	159
17	34	157
18	36	155
19	38	153
20	40	151
21	42	151
22	44	148
23	46	146
24	48	144
25	50	142
26	52	141
27	54	139
28	56	137
29	58	135
30	59	133
31	62	132
32	64	130
33	66	128
34	69	128
35	71	126
36	73	124
37	75	122
38	76	120
39	78	117
40	80	115
41	81	112
42	83	110
43	85	108
44	87	106
45	89	104
46	90	102
47	92	100
48	94	98
49	96	96
50	99	95
51	101	93
52	102	91
53	104	88
54	105	86
55	107	84
56	109	82
57	110	80
58	113	78
59	115	76
60	116	74
61	118	72
62	120	70
63	122	68
64	124	67
65	126	65
66	128	63
67	130	61
68	132	59
69	134	57
70	135	55
71	137	53
72	139	51
73	141	49
74	143	47
75	145	45
76	146	43
77	148	41
78	150	39
79	151	37
80	153	36
81	155	34
82	157	32
83	159	30
84	160	28
85	162	26
86	164	24
87	165	22
88	167	20
89	169	18
90	171	16
91	173	15
92	175	13
93	177	11
94	178	9
95	181	7
96	182	5
97	184	3
98	187	1
99	189	0
